INCIDENT NUMBER,CHARGE ID,CHARGE DATE,REPORT DATE,APPROVED DATE,ATTEMPTED OR COMMITTED,STREET ADDRESS,SUBADDRESS,CITY,STATE,ZIP CODE,DISTRICT,ZONE,SUBZONE,STATUTE TITLE,STATUTE DESCRIPTION,STATUTE CATEGORY,CRIME AGAINST,NIBRS CODE,NIBRS DESCRIPTION,CENSUS BLOCK GROUP,COUNCIL DISTRICT,CRIME PREVENTION DISTRICT,NEIGHBORHOOD,LONGITUDE,LATITUDE,GEOLOCATION
21-049311,C820C7C9-B1ED-4416-8415-F5DB4A94BB29,05/23/2021 07:03:10 AM,05/23/2021 08:41:43 AM,05/31/2021 08:51:03 AM,ATTEMPTED,1001 NORTH ST,,BATON ROUGE,LA,70802,1,1A,1A2,14:30,FIRST DEGREE MURDER,HOMICIDE,PERSON,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,,10,,DOWNTOWN EAST,-91.18006,30.45290,POINT (-91.180061 30.452903)
21-057266,7636E941-8023-4E94-8C15-165B80492FCC,06/13/2021 02:38:21 PM,06/14/2021 10:09:05 PM,06/18/2021 03:10:20 PM,COMMITTED,101 S INTERSTATE 110 HWY,,BATON ROUGE,LA,70802,5,5A,1A2,14:37.4,AGGRAVATED ASSAULT WITH A FIREARM,ASSAULT,PERSON,13A,AGGRAVATED ASSAULT,,10,,DOWNTOWN EAST,-91.18077,30.45294,POINT (-91.180774 30.452943)
21-017394,E9B79E2A-3684-407E-ABD9-0C68F664155E,02/24/2021 03:21:34 AM,02/24/2021 10:05:45 PM,02/10/2023 03:19:10 PM,COMMITTED,,,BATON ROUGE,LA,70802,1,1A,1A1,13:35.3,DOMESTIC ABUSE BATTERY,BATTERY,PERSON,13B,SIMPLE ASSAULT,,10,,DOWNTOWN EAST,,,
21-006929,3B23514B-3655-4C28-A358-0DDAE3C6E456,01/23/2021 02:17:54 AM,01/23/2021 03:34:12 AM,01/02/2023 10:15:20 AM,COMMITTED,700 N 17TH ST,34,BATON ROUGE,LA,70802,1,1A,1A2,13:285,IMPROPER TELEPHONE COMMUNICATION/CC,NUISANCE,PERSON,13C,INTIMIDATION,,10,,DOWNTOWN EAST,-91.17126,30.45381,POINT (-91.171257 30.45381)
21-012742,D3B593C4-E80A-47BF-A416-F905719D4FE8,02/05/2021 05:39:13 PM,04/27/2021 10:41:26 AM,04/29/2021 09:44:04 AM,COMMITTED,,,BATON ROUGE,LA,70802,2,2A,2A1,14:285,TELEPHONE COMMUNICATIONS; IMPROPER LANGUAGE;HARASSMENT,VICE,PERSON,13C,INTIMIDATION,,10,,DOWNTOWN EAST,,,
21-130384,FBFD9FE4-BECA-406B-9518-D3AE3FC168AE,12/21/2021 10:00:00 AM,12/21/2021 08:31:48 PM,12/22/2021 01:14:35 AM,COMMITTED,1357 FLORIDA ST,,BATON ROUGE,LA,70802,1,1A,1A2,14:35.2,SIMPLE BATTERY OF THE INFIRM,BATTERY,PERSON,13B,SIMPLE ASSAULT,,10,,DOWNTOWN EAST,-91.17507,30.44998,POINT (-91.175072 30.449979)
21-119745,0035119F-BE30-4D9D-909B-BEB29D213378,11/22/2021 07:54:00 AM,11/22/2021 07:54:00 AM,12/11/2021 08:27:07 PM,COMMITTED,,,BATON ROUGE,LA,70802,2,2A,2A1,13:35.3,DOMESTIC ABUSE BATTERY,BATTERY,PERSON,13B,SIMPLE ASSAULT,,10,,DOWNTOWN EAST,,,
21-053040,3B941B91-E04E-49DE-BE27-BD533CBC65AE,06/02/2021 12:17:28 AM,06/02/2021 01:36:50 AM,06/02/2021 02:06:46 AM,COMMITTED,700 N 17TH ST,,BATON ROUGE,LA,70802,1,1A,1A2,14:35,SIMPLE BATTERY,BATTERY,PERSON,13B,SIMPLE ASSAULT,,10,,DOWNTOWN EAST,-91.17126,30.45381,POINT (-91.171257 30.45381)
21-027726,DBBB6680-A1D0-4C36-8F89-F1A5BF481BD2,03/25/2021 05:01:08 PM,03/25/2021 05:40:22 PM,03/10/2023 03:40:33 PM,COMMITTED,,,BATON ROUGE,LA,70802,1,1A,1A1,13:35.3,DOMESTIC ABUSE BATTERY,BATTERY,PERSON,13B,SIMPLE ASSAULT,,10,,DOWNTOWN EAST,,,
21-104073,59176A5B-4966-435A-8049-B0E224559933,10/11/2021 11:28:20 PM,10/12/2021 07:11:44 AM,10/12/2021 08:34:46 AM,COMMITTED,1223 CONVENTION ST,,BATON ROUGE,LA,70802,1,1A,1A1,14:30.1,SECOND DEGREE MURDER,HOMICIDE,PERSON,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,,10,,DOWNTOWN EAST,-91.17702,30.44880,POINT (-91.177018 30.448802)
